mkt,#RIC,Directory Company Name
asx,CZR.AX,Coziron Resources Ltd
asx,CZZ.AX,Capilano Honey Ltd
asx,D13.AX,Department 13 International Ltd
asx,D2O.AX,Duxton Water Ltd
asx,D2ON.AX,Duxton Water Ltd
asx,DAF.AX,Discovery Africa Ltd
asx,DAU.AX,Dampier Gold Ltd
asx,DAV.AX,Davenport Resources Ltd
asx,DBF.AX,Duxton Broadacre Farms Ltd
asx,DCC.AX,Digitalx Ltd
asx,DCG.AX,Decmil Group Ltd
asx,DCL.AX,Domacom Australia Ltd
asx,DCN.AX,Dacian Gold Ltd
asx,DDD.AX,3D Resources Ltd
asx,DDR.AX,Dicker Data Ltd
asx,DDT.AX,DataDot Technology Ltd
asx,DEG.AX,De Grey Mining Ltd
asx,DEM.AX,De.mem Ltd
asx,DEV.AX,DevEx Resources Ltd
asx,DFM.AX,Dongfang Modern Agriculture Holding Group Ltd
asx,DGH.AX,Desane Group Holdings Ltd
asx,DGO.AX,DGO Gold Ltd
asx,DGR.AX,DGR Global Ltd
asx,DHG.AX,Domain Holdings Australia Ltd
asx,DHR.AX,Dark Horse Resources Ltd
asx,DIG.AX,Asia Pacific Digital Ltd
asx,DIV.AX,UBS IQ Morningstar Australia Dividend Yield ETF
asx,DJRE.AX,SPDR Dow Jones Global Real Estate AUD
asx,DJW.AX,Djerriwarrh Investments Ltd
asx,DKM.AX,Duketon Mining Ltd
asx,DLC.AX,Delecta Ltd
asx,DLX.AX,DuluxGroup Ltd
asx,DM1.AX,Directmoney Ltd
asx,DMC.AX,Digimatic Group Ltd
asx,DME.AX,Dome Gold Mines Ltd
asx,DMG.AX,Dragon Mountain Gold Ltd
asx,DMI.AX,Dempsey Minerals Ltd
asx,DMKT.AX,AMP Capital Dynamic Markets (Hedge)
asx,DMP.AX,Domino's Pizza Enterprises Ltd
asx,DN8.AX,Dreamscape Networks Ltd
asx,DNA.AX,Donaco International Ltd
asx,DNK.AX,Danakali Ltd
asx,DOR.AX,Doriemus PLC
asx,DOW.AX,Downer EDI Ltd
asx,DRA.AX,Dragon Mining Ltd
asx,DRG.AX,Draig Resources Ltd
asx,DRK.AX,Drake Resources Ltd
asx,DRM.AX,Doray Minerals Ltd
asx,DRO.AX,DroneShield Ltd
asx,DRUG.AX,Betashares Global Healthcare ETF-Curr Hedged
asx,DRX.AX,Diatreme Resources Ltd
