RIC,Market,TimestampUTC,Headline,ISIN
LRZI.SI,sgx,2018-07-05 00:00:00,BRIEF-Lorenzo International Posts FY Loss Attributable Of S$11.2 Mln,5IE
LION.SI,sgx,2018-07-13 00:00:00,BRIEF-Liongold Corp Says Tan Soo Khoon Raymond To Loan Co S$3.5 Mln,A78
LIBG.SI,sgx,2018-07-26 12:16:00,BRIEF-Lian Beng Group Posts FY Profit To Shareholders Of S$54.4 Mln,L03
MONE.SI,sgx,2018-07-27 10:26:00,BRIEF-M1 Ltd Says Q2 Net Profit S$36.2 Million,B2F
LIFE.SI,sgx,2018-07-13 00:00:00,BRIEF-Lifebrandz Says Kayoko Francis Appointed As Executive Director,1D3
LUCS.SI,sgx,2018-07-20 00:00:00,BRIEF-Lum Chang Holdings Says Unit To Subscribe For New Shares In Daehan Rehabilitation Services,L19
KOYO.SI,sgx,2018-07-04 00:00:00,BRIEF-Koyo International Says Unit Awarded Contract Valued At S$5.2 Million By Housing & Development Board,5OC
LCTH.SI,sgx,2018-07-09 00:00:00,BRIEF-LCT Holdings Appoints Luo Haiyan As CFO,BJL
LYCO.SI,sgx,2018-07-16 00:00:00,BRIEF-LY Corporation Says Unit Enters Distribution Agreement With Hangzhou Feilue Network Technology Co,1H8
KIML.SI,sgx,2018-07-02 00:00:00,BRIEF-Kimly Announces To Buy Asian Story Corporation Pte From Wang Chia Ye,1D0
