RIC,Market,TimestampUTC,Headline,ISIN
600.SI,sgx,2018-07-17 00:00:00,BRIEF-Hyflux Ltd Says Unit Awarded Contract For A Desalination Water Processing System Package In Turkey,600
NS8U.SI,sgx,2018-07-23 00:00:00,BRIEF-Hutchison Port Holdings Trust Says Qtrly Profit Attributable HK$170.0 Mln,NS8U
600.SI,sgx,2018-07-27 10:35:00,BRIEF-Hyflux Updates on Reorganisation Process,600
Q0F.SI,sgx,2018-07-03 00:00:00,BRIEF-IHH Healthcare Revises Existing Proposal For Fortis,Q0F
Q0F.SI,sgx,2018-07-03 00:00:00,IHH Healthcare submits revised bid for Fortis Healthcare,Q0F
Q0F.SI,sgx,2018-07-09 00:00:00,MEDIA-IHH Healthcare likely to acquire control of India's Fortis with 47-54 bln rupee-bid - Mint,Q0F
Q0F.SI,sgx,2018-07-09 00:00:00,BUZZ-India's Fortis Healthcare rises on report that IHH likely to seal Fortis deal,Q0F
Q0F.SI,sgx,2018-07-13 00:00:00,India's Fortis accepts investment offer from IHH Healthcare,Q0F
Q0F.SI,sgx,2018-07-13 00:00:00,BRIEF-IHH Healthcare Says Will Hold Minimum Of 31.1 Pct & Maximum 57.1 Pct Interest In Fortis On Deal Completion,Q0F
Q0F.SI,sgx,2018-07-13 00:00:00,BRIEF-Fortis Healthcare Doesn't Think IHH Deal Will Change Co's  Management Structure - Exec,Q0F
Q0F.SI,sgx,2018-07-13 00:00:00,BRIEF-IHH Healthcare Says Unit To Subscribe To 235.3 Mln New Fortis Shares,Q0F
Q0F.SI,sgx,2018-07-25 00:00:00,MEDIA-IHH may merge existing India hospital portfolio with Fortis Healthcare - Economic Times,Q0F
Q0F.SI,sgx,2018-07-16 00:00:00,BRIEF-IHH Seeks To Buy Fortis Shares At 170 Rupees Each In Open Offer,Q0F
AZA.SI,sgx,2018-07-31 11:45:00,BRIEF-IPC Corporation Updates On Proposed Divestment Of Group's Assets In PRC,AZA
41B.SI,sgx,2018-07-03 00:00:00,BRIEF-Huationg Global Proposes A Dual Primary Listing Of Shares,41B
H78.SI,sgx,2018-07-26 10:06:00,Hongkong Land Hldgs Jardine Strategic Jardine Matheson Hdg  - Half-year Report,H78
H22.SI,sgx,2018-07-27 13:16:00,BRIEF-Hong Leong Asia Says HL-Sunway JV Been Awarded Tender For Lease Of Land,H22
H22.SI,sgx,2018-07-18 00:00:00,BRIEF-Hong Leong Asia Says Leong Kok Ho Resigns As Chief Financial Officer,H22
H78.SI,sgx,2018-07-26 10:14:00,BRIEF-Hongkong Land Holdings Announces Interim Dividend US¢6.00 Per Share,H78
5OR.SI,sgx,2018-07-26 10:29:00,BRIEF-Heatec Jietong Says Yat Wan Thiam Appointed As CFO (Designate),5OR
5OR.SI,sgx,2018-07-30 11:45:00,BRIEF-Heatec Jietong Holdings Expects To Report Net Loss For H1,5OR
DM0.SI,sgx,2018-07-24 00:00:00,BRIEF-Hanwell Holdings Announces Investment Of Property In Japan Through Unit,DM0
N01.SI,sgx,2018-07-16 00:00:00,BRIEF-Nera Telecommunications Secures S$11.7 Mln Worth Of New Contracts,N01
42D.SI,sgx,2018-07-27 11:08:00,BRIEF-Nauticawt Enters Term Sheet With Qyrin Petroleum Technology & Vectra Petroleum Ltd,42D
5IF.SI,sgx,2018-07-05 00:00:00,BRIEF-Natural Cool Holdings Announces Acquisition Of 51% Of Jad Solutions Pte. Ltd.,5IF
M03.SI,sgx,2018-07-31 12:06:00,BRIEF-Miyoshi Announces Increase of Investment in Core Power (Fujian) New Energy Automobile,M03
AWO.SI,sgx,2018-07-18 00:00:00,BRIEF-Mirach Energy Limited Requests Trading Halt,AWO
AWO.SI,sgx,2018-07-18 00:00:00,BRIEF-Mirach Energy Says Unit Acquires 70% Stake In RCL Kelstar,AWO
CNE.SI,sgx,2018-07-26 10:17:00,BRIEF-Keppel Corp Says Keppel Capital Signed MoU With Mindchamps For Education Real Estate Fund,CNE
5RF.SI,sgx,2018-07-13 00:00:00,BRIEF-Mercurius Capital Investment Entered Licensing Agreement With Clover Lifestyle,5RF
DU4.SI,sgx,2018-07-18 00:00:00,BRIEF-Mermaid Maritime Pcl Says Middle East Business Unit Been Awarded A Subsea Services Contract,DU4
1H4.SI,sgx,2018-07-25 00:00:00,BRIEF-Memories Group Says Co To Buy SM Asset Holdings Pte,1H4
5DS.SI,sgx,2018-07-03 00:00:00,BRIEF-MegaChem Ltd Says Megachem (Thailand) Incorporated JV In Myanmar,5DS
M44U.SI,sgx,2018-07-04 00:00:00,BRIEF-Mapletree Logistics Trust Announces Deals To Buy 5 Logistics Properties In Singapore,M44U
